date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:20	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:09%20GMT	http://223.31.103.204/robots.txt		(from )
23:22:21	21091/21091	---M--	200	added ('OK')	text/html	date:Sun,%2028%20Jul%202024%2017:52:09%20GMT	http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/index0e54.html	(from )
23:22:21	28810/28810	---M--	200	added ('OK')	text/css	etag:%22b473331b3af6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/css/bootstrap.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/css/bootstrap.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:21	21658/21658	---M--	200	added ('OK')	text/css	etag:%225dd6351b3af6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/css/font-awesome.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:22	10700/10700	---M--	200	added ('OK')	text/css	etag:%22351222642f6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/css/style.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/css/style.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	381/381	---M--	200	added ('OK')	text/css	etag:%225dd6351b3af6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/css/style-responsive.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/css/style-responsive.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:12%20GMT	http://223.31.103.204/HeritageSMSClaimView/PrettyPhot/css/prettyPhoto.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/PrettyPhot/css/prettyPhoto.4.delayed	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	8154/8154	---M--	200	added ('OK')	text/css	etag:%225dd6351b3af6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/css/normalize.css	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/css/normalize.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:12%20GMT	http://223.31.103.204/HeritageSMSClaimView/js/jquery-1.11.0.min.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/js/jquery-1.11.0.min.6.delayed	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:12%20GMT	http://223.31.103.204/HeritageSMSClaimView/~/jQdataTable/js/jquery.dataTables.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/_/jQdataTable/js/jquery.dataTables.7.delayed	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:23	22346/22346	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2006%20Feb%202015%2023:24:41%20GMT	http://223.31.103.204/HeritageSMSClaimView/WebResource.axd?d=pZT_EvFNW3-OR03P4GgJnjzcBavXe660vtnjCVgfAJdyslrA9uL0-5PUNF06jUOGVZzP-C6LxDd1Sr6ha8nO90UvUlkIoh5Jm6SnBHKIrTs1&t=635588816815688065	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/WebResource6df7.js	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:24	319834/319834	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2028%20Jul%202024%2017:04:22%20GMT	http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=68C2rdLhjkQTI1UGULXPg52h9nGjxQ5F3bPZVHg8Mls6QV9bCjtvcQzYVsQI1D8jC_8Miz1STJ6FzTRb6Xpd8bFug3Q3xYZPScsg08GMdA97UB7MYy2kreADZUvMcP4MAbrtRqEQNd294ict5V1vRHCuDLPzpAkfiejNwwpi1HC06ahYtNd-B2c0SInUo7Hc0&t=ffffffff805766b3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/ScriptResource3c9f.js	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
